adm0_name,iso3,X,Y,published,sources,info,optional1,optional2,optional3,ObjectId
Liechtenstein,LIE,9.552985,47.14167,27.03.2020,"https://www.gov.uk/foreign-travel-advice/liechtenstein/health#coronavirus
https://ch.usembassy.gov/covid-19-info/",The Liechtenstein authorities have introduced a number of  measures in response to the coronavirus (COVID-19) pandemic. You should comply with any additional screening measures put in place by the authorities. ,20200327,There aren’t any quarantined locations at this time.,COVID-19 negative certification not required / not known,11
Lithuania,LTU,23.905248,55.336787,24.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://lt.usembassy.gov/covid-19-information/
International SOS
Reuters","All international restrictions were extended until 11 May. All passenger air and ferry travel are banned. Ferry Route Kiel (Germany)-Klaipėda (Lithuania) to be maintained. Other exceptions will need authorisation from the Lithuanian Transport Safety Administration. (OASC, 01.04.2020)

1. Passengers are not allowed to enter Lithuania.
-This does not apply to:
- nationals and residents of Lithuania;
- family members of nationals of Lithuania;
- diplomats accredited to Lithuania;
- healthcare professionals traveling for the provision of transplant services;
- passengers with permission by issued by the respective minister and by the government;
- NATO personnel and personnel working for them and their family members.
2.Passengers allowed to enter must arrive at Vilnius (VNO), Kaunas (KUN), Palanga (PLQ) or Siauliai (SQQ)
3.Transit through Lithuania is possible only for passengers traveling in groups on their way back to their country of residence. They must be escorted to the international border crossing points.
4.Flights with a permission issued by the Lithuanian Transport Safety Administration under the order of the Minister of Transport and Communications can operate to Lithuania.
5.Returning nationals and residents of Lithuania are subject to 14 days isolation.
6.Airline crew must be in isolation until their departure, but no longer than 14 days.

Internal restrictions:
On 22 April, all internal restrictions were extended until 11 May. A full lifting of all lockdown measures is anticipated on 11 May, although authorities have decided that the entry and departure ban, set for Nemencine city will end on 24 April.
It is prohibited for citizens of the Republic of Lithuania to leave the Republic of Lithuania, unless they return to their permanent residence, go to their place of work, are members of crews and crews working in Lithuanian companies engaged in international commercial transport or perform international commercial transport of all types.
It is now compulsory for everyone going into public places to wear a face mask.

Relaxation in restrictions
All shops and shopping malls are allowed to re-open from 23 April. Other venues, such as hair salons, outdoor cafes, libraries and museums are to re-open from 27 April.",20200424,Returning nationals and residents of Lithuania are subject to 14 days isolation. Lithuania introduced a nationwide quarantine at midnight on March 16. This quarantine is currently in effect through April 13. ,COVID-19 negative certification not required / not known,12
Luxembourg,LUX,6.092653,49.776797,17.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening","Passengers are not allowed to enter Luxembourg until the 17 April 2020.
- This does not apply to nationals of Luxembourg and their family members in order to return home.
- This does not apply to nationals of the European Union, Schengen Member States and the Schengen Associated States, passengers from the United Kingdom, and their family members in order to return home.
- This does not apply to passengers who have a long-term resident status in accordance with the European Directive 2003/109 / EC relating to long-term residents, as well as any other person who have a right of residence in accordance with European directives as well as national law in Grand Duchy of Luxembourg or one of the neighboring countries.
- This does not apply to healthcare professionals, health researchers and healthcare professionals to the elderly.
- This does not apply to cross-border workers.
- This does not apply to members of the diplomatic corps, personnel of international organizations, the military, personnel of the development cooperation and humanitarian aid, during the exercise of their respective functions.
- This does not apply to passenger travelling by land to their country of origin. They must have a proof of onward journey.
- This does not apply to passengers traveling for urgent and duly justified family reasons.
- This does not apply to passengers who want to apply for international protection or subsidiary protection in the Grand Duchy of Luxembourg or for other humanitarian reasons.

Internal restrictions:

Movements are now limited to essential tasks such as grocery shopping, health visits and commute to work when working from home is not an option. Restaurants, cafes, and most non-food shops are closed, as well as leisure facilities including libraries, museums and leisure centres.
From 20 April onwards, the wearing of masks will be compulsory in public places where the two-metre social distance rule cannot be respected.
Schools have been closed from 16 March until at least 4 May and major public events have been suspended.
All public places remain closed until further notice.
Due to the exceptional context, the government decided to extend stay permits until the end of the crisis for all non-EU nationals in Luxembourg.
Visits to elderly care homes or hospitals are banned.",20200417,•Individuals are asked to self-quarantine if they believe they are at risk.,COVID-19 negative certification not required / not known,13
Macao,MAC,113.547149,22.196997,27.03.2020,"https://www.iata.org/contentassets/b8aa40e5e8154592be036a1e5aa461bb/macao-sar-china-ncov-measures.pdf
https://hk.usconsulate.gov/covid-19-information/","Those who have visited mainland China, Hong Kong or Taiwan in the previous 14 days may enter Macao but have to undergo 14 days of medical observations at a designated location. If they have not visited a foreign country, Hong Kong or Taiwan in the past 14 days, they will have to go through a 6-8-hour medical examination if they come from a region of high number of COVID-19 cases (Beijing, Chongqing, Guangdong, Henan, Shanghai or Zhejiang). Travellers who have been to Hubei province in the 14 days prior to arrival are required to present a medical certificate proving they are free from COVID-19. ",20200327,"The Macau government announced that effective beginning at 12:00 am on March 25, travelers who have been to Hong Kong or Taiwan in the past 14 days will be subject to a 14-day compulsory quarantine. Macau residents may complete the quarantine period at a location in Macau deemed appropriate by health authorities. Non-Macau residents complete the quarantine period at a designated hotel at their own expense.",COVID-19 negative certification subject to special conditions,14
Madagascar,MDG,46.696474,-19.382363,23.04.2020,"https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening 
https://mg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19-information/","International restrictions: 
All international flights have been suspended until further notice. (French embassy currently organising repatriation flights with Air France.) 
No cruise ships can dock until further notice. 

Internal restrictions: 
All domestic flights have been suspended until further notice. 
The lockdown in the capital Antananarivo and the cities of Toamasina (Atsinanana region) and Fianarantsoa (Fianarantsoa region) is starting to be lifted. Public transport is resuming in all three regions but is operating with limited capacity (no more than 18 passengers in a bus; no more than three in a taxi). Schools started reopening on 22 April. 
A nationwide curfew remains in place from 21.00 until 04.00. 
Wearing a face mask is now compulsory nationwide, including when using public transport. 
The state of health emergency has been extended until 2 May. 

Relaxation in restrictions: 
Schools have started to reopen.",20200423,"For passengers arriving from or having transited through China quarantine is mandatory for a period of 14 days; Authorities have asked airlines not to bring in passengers who have been in Italy, South Korea, or Iran within the past 14 days. Should such passengers arrive, they may face a 14 day quarantine.",COVID-19 negative certification not required / not known,15
Madeira Islands,PRT,-16.972586,32.736569,,,,,,,16
Malawi,MWI,33.488462,-13.408199,19.04.2020,"https://mw.usembassy.gov/covid-19-information/
https://africa.cgtn.com/2020/03/28/malawi-to-suspend-international-flights-from-april-1/","Government announces lockdown from 18 April to 9 May (Reuters, 15.04.2020). Malawi government suspend all international flights from April 1 (Reuters, 28.03.2020).

A passport, visa and yellow fever card are required to enter Malawi. One can apply for a visa upon arrival. At least one blank page in the passport is needed for the entry stamp. Passports must be valid for at least six months upon arrival.
The Malawian government has announced increased screenings at its two international airports – Kamuzu International Airport (KIA) in Lilongwe and Chileka International Airport (CIA) in Blantyre.  
Travelers who are symptomatic and have a travel history to China, Iran, South Korea, Italy, Germany, France, Spain and the United States in the preceding 14 days will be taken to an isolation room at the airport for further medical evaluation.
Travelers who have been to mainland China, Iran, South Korea, Italy, Germany, France, Spain and the United States recently but are asymptomatic will be referred for self-quarantine either at home or in a hotel with daily check-ups for 14 days.

Internal restrictions: 
The implementation of a nationwide lockdown order has been postponed until at least 24 April pending a decision by the High Court.",20200419,"Travelers who are symptomatic and have a travel history to mainland China, Iran, South Korea, the United Kingdom, Japan, Norway, the United States, South Africa, Seychelles, the Democratic Republic of the Congo, Namibia, Tanzania or any of the countries in the European Union  in the preceding 14 days are taken to an isolation room at the airport for further medical investigation. Travelers who have been to mainland China, Iran, South Korea, the United Kingdom, Japan, Norway, the United States, South Africa, Seychelles, the Democratic Republic of the Congo, Namibia, Tanzania or any of the countries in the European Union recently but are asymptomatic are referred for self-quarantine either at home and daily check-ups for 14 days. Travelers to Malawi arriving from countries on this list who are made to self-quarantine will not be allowed to self-quarantine in hotels or lodges in Malawi. As the COVID-19 outbreak continues to evolve daily, travelers should be prepared for this list to change and for travel restrictions to be put into effect with little or no advance notice.",COVID-19 negative certification not required / not known,17
Malaysia,MYS,116.834631,5.452415,27.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://my.usembassy.gov/u-s-citizen-services/covid-19-information/
International SOS","Country extends lockdown measures until 12 May (Reuters, 23.04.2020);  

International restrictions:
1. Passengers are not allowed to enter Malaysia. 
- This does not apply to nationals of Malaysia.
- This does not apply to permanent residents of Malaysia.
- This does not apply to passengers with a diplomatic passport.
- This does not apply to passengers with official passport on a diplomatic mission.
- This does not apply to passengers who are embassy employees with a proof of employment and their dependents.
2. Nationals and residents of Malaysia will be quarantined for 14 days.
3. Passengers who are embassy employees or have a diplomatic or official passport will be quarantined for 14 days.
4. Transfer from an international flight to a domestic flight is not allowed.

From 27 April, Malaysians in Singapore must obtain approval from the High Commission of Malaysia in Singapore, before returning to Malaysia by land. Affected people should email the High Commission at least two days before departure, attaching a copy of their work passes. Only 400 permits will be issued daily. The permits should be obtained through emailing: stmsg@mhc.org.sg at least 2 days before scheduled entry into Malaysia. 

Internal restrictions: 
Limited flights between Peninsula Malaysia and East Malaysia will resume in the week of 15 April.
Travel to purchase food, daily necessities, medicine or dietary supplements has been limited to not more than 10km from a person’s residence.
Starting 25 April, anyone intending to undertake interstate travel to major cities should apply online through the Gerak Malaysia mobile application or at the local police station. 
Road closures, roadblocks and checkpoints have been implemented across the nation. 

",20200427,"From 3 April, there is a 14-day mandatory quarantine for passengers, including Malaysians, foreigners holding long-term pass, diplomats and other diplomatic and consular staff, arriving into the country.
Upon arrival, travellers will undergo screening by the Malaysian health authorities before being sent to designated government quarantine centres around Negeri Sembilan and Selangor. 
Travellers with onward domestic connections must undergo the mandatory 14-day quarantine before being allowed to proceed to their domestic destinations. 
However, passengers with connections to Sabah and Sarawak (both East Malaysia) are allowed to undergo quarantine upon arrival in their respective states. These travellers are not allowed to leave the airport building and must have a transit time of less than 24 hours. ",COVID-19 negative certification not required / not known,18
Maldives,MDV,73.545949,1.92666,19.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
https://mv.usmission.gov/covid-19-information/","1. Velana Airport (MLE) is closed every day from 16:00 to 01:00.
2. All visas on arrival are suspended.
- This does not apply to passengers with a special permission granted by the Maldives government.
3. Passengers traveling as tourists and airline crew who have been in Bangladesh, China (People's Rep.), Iran, Italy, Malaysia, Spain, Sri Lanka, United Kingdom or in North Gyeongsang and South Gyeongsang Provinces in Korea (Rep.), Ile-de-France and Grand Est (regions of France) and Bavaria, North Rhine Westphalia and Baden-Wuerttemberg (regions of Germany) in the past 14 days are not allowed to enter the Maldives.
- This does not apply to nationals of Maldives and their spouses.
4. Nationals and residents of Maldives will be subject to 14-day quarantine upon arrival. Carriers intending to carry nationals of Maldives on inbound flights shall seek prior approval from relevant authorities.
5. All passengers traveling to the Maldives for a purpose other than tourism will be quarantined for 14 days at a place designated by the Government.
6. A completed ""Health Declaration Card"" and an ""Immigration Arrival Card"" must be presented upon arrival.

Internal restrictions: 
Inter-island travel is banned (except for cargo supplies).
Domestic flights remain limited while all other public transport has been banned.
The Health Protection Agency (HPA) has imposed a lockdown on Male city until at least 1 May. Under this lockdown:
No one is allowed on the streets of Hulhumale, Male and Vilimale;
Public transportation between these areas has been stopped;
No one is allowed to enter or exit Gulhifalhu, Hulhumale, Male, Thilafushi and Villimale;
Only the authorities, healthcare professionals and persons holding a pass issued by the National Emergency Operation Centre (NEOC) are exempt from these measures. ",20200419,"•On 24 March 2020, following the Director-General of Public Health’s announcement that all incoming passengers will be quarantined for 14 days, the Ministry of Economic Development announced new restrictions for foreign nationals working in the Maldives. ",COVID-19 negative certification not required / not known,19
Mali,MLI,-3.527933,17.358919,17.04.2020,"UNHAS
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening 
https://ml.usembassy.gov/covid-19-information/","The government announced that all commercial flights arriving from affected areas would be suspended, with the exemption of trade related flights and cargo. 
UNHAS Ops still running.
All land borders closed except for freight trucks.

Internal restrictions:
The country has declared a state of emergency with curfew imposed from 21.00 to 05.00 (local time).
Public and private schools at all levels of education (including religious schools commonly known as madrasas) are to remain closed until at least 9 May.
All public and social, cultural, political, sport related gatherings of more than 50 persons are suspended until further notice.
All clubs and bars are closed until further notice.",20200417,"The Government of Mali has implemented enhanced screening and quarantine measures to reduce the spread of COVID-19.  Travelers should be prepared for additional travel restrictions to be put into effect with little or no advance notice. All travelers who present themselves in Mali will receive at air and land ports of entry a systematic temperature measurement, as well as the recommendations of the Government of Mali on measures of self-isolation, individual and collective hygiene, and a toll free number (36 0 61).

Travelers arriving with fever (temperature above 37.5 degrees C/99.5 degrees F) from countries severely affected by COVID-19 will be subjected to self-isolation for 14 days and will receive daily follow-up by a Government of Mali medical team. Travelers arriving with fever (temperature above 37.5 degrees C/99.5 degrees F) and other respiratory signs and symptoms from countries severely affected by COVID-19 will be transported to an isolation site for further testing.
",COVID-19 negative certification not required / not known,20
Malta,MLT,14.440213,35.888112,14.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening 
https://mt.usembassy.gov/covid-19-information/","International restrictions: 
Flights to Malta are suspended until 24 April 2020.
- This does not apply to ferry flights, humanitarian flights and repatriation flights.
",20200414,"Persons entering Malta from any other country from 13:00CET on 13 March 2020 onwards must spend 14 days in mandatory quarantine, which 14 days start from the last day that they were in any of these countries.  
Persons living in the same households as any of the above persons must also spend 14 days in mandatory quarantine. If you are in quarantine and need help, including food or medicine delivery, call +356-2141-1411
",COVID-19 negative certification not required / not known,21
Marshall Islands,MHL,168.111299,5.617142,03.04.2020,"https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
https://mh.usembassy.gov/covid-19-information/","International restrictions:
›The government has announced a “total suspension” of international travellers coming into the Marshall Islands extended until 5 May.
›10 countries have been placed on its “no fly” list (from which all travellers are banned from entering) – these are China, France, Germany, Hong Kong, Iran, Italy, Japan, Macao, South Korea and Spain. 

All domestic passenger air travel between Kwajalein and Majuro is suspended on international airlines. Air travel between Kwajalein and Majuro is only permitted on Air Marshall Islands.",20200403,"The RMI government announced on February 15, 2020 the construction of a new eight-bed isolation unit to be built and ready within the next 30 days",COVID-19 negative certification not required / not known,22
Martinique,MTQ,-60.914458,14.566542,14.04.2020,https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm,"1. Passengers are not allowed to enter the French West Indies. 
- This does not apply to passengers who reside in the French West Indies. 
- This does not apply to passengers traveling for urgent health reasons.
- This does not apply to passengers traveling for imperative business reasons.
2. Passengers must have an International Travel Certificate to enter and transit the French West Indies. The certificate must be obtained before departure via the French consular offices abroad or online at https://www.interieur.gouv.fr 
3. Passengers will be subject to quarantine for a period of 14 days.

",20200414,,COVID-19 negative certification required for entering the country,23
Mauritania,MRT,-10.340357,20.263334,23.04.2020,"https://www.iatatravelcentre.com/international-travel-document-news/1580226297.htm
https://mr.usembassy.gov/covid-19-information/
https://pandemic.internationalsos.com/2019-ncov/ncov-travel-restrictions-flight-operations-and-screening
","International restrictions:  
All commercial flights from/to Mauritania are suspended- including UNHAS- until 30 April. 
People in direct contact with someone who tested positive will be quarantined.

A number of border crossing have been closed with screening measures deployed to the crossings that remain open at: Bir 75 (Wilaya Tiris Zemour), Boghé (Wilaya Brakna), Rosso (Wilaya Trarza), Douinkara (Fassala, Wilaya Hodh Echarghi), Gougui Zemal (Wilaya Hodh El Gharbi), Gouraye (Wilaya Of Guidimagha), Kaedi (Wilaya Gorgol) and PK 55 (Wilaya D. Nouadhibou).
The land border with Mali has been closed since 24 March, except for freight trucks. 

UNHAS flights are suspended. 

Internal restrictions: 
The Interior Ministry announced the closure of all non-essential industries and businesses from 29 March onwards.
All large public gatherings have been banned.
A curfew is in place from 18.00 to 06.00 (local time) - which will be modified from 21.00-06.00 during the month of Ramadan, from 22 April until 22 May. All internal movements between the different wilayas of the country are prohibited until further notice. Exceptions will be made for health care teams and freight trucks. 
",20200423,"•According to press sources, the last travelers entering Mauritania have been quarantined in dedicated local hotels.
•Due to the constantly evolving situation, we cannot confirm the quarantine procedures upon entry into neighboring countries or upon entry into Mauritania.
",COVID-19 negative certification not required / not known,24
