countryName,lockdownInfo,dateStr,date
Afghanistan,"During the lockdown in Kabul, the Ministry of Agriculture, Irrigation, and Livestock donated food for an emergency group to distribute across the province.[136] In , Amanullah Kaliwal began to distribute 500 masks a day to the poor for free, which had been sewn at home. In less than a week, 4000 masks had been distributed to the poor in Kabul.[137]
",April 2020,2020-04-22
Afghanistan,"On 27 March, the Taliban started a public awareness campaign in Jowzjan Province. On 29 March, the Taliban launched a COVID-19 public awareness campaign in Logar Province.[146] The Taliban offered safe passage to health workers that are treating coronavirus patients in Afghanistan. Furthermore, the Taliban enforced lockdowns in affected districts. People who were suspected of having COVID-19 were quarantined.[147]
",27 March 2020,2020-03-27
Afghanistan,"In Herat Province, more than 35,000 shops and factories were closed by 16 April, leading to a loss of profits and unemployment. Economic difficulties has resulting in workers and shop owners being unable to pay rents. Construction also stopped in the province.[154] On 17 April, shopkeepers and street vendors across Kabul announced that there incomes had been affected by the lockdown. Breadwinners of families and low-wage vendors have been badly affected in poor communities of Kabul. According to the government, a future program will provide aid.[155] On 18 April, Balkh officials and volunteers announced that over 20,000 displaced people and returnees, as well as over 10,000 vulnerable families in the province, needed assistance due to the loss of jobs, low wages, and unemployment. Food supplies from Uzbekistan had not been distributed to the vulnerable families yet, despite arriving weeks earlier.[156]
",16 April 2020,2020-04-16
Afghanistan,"On 21 March, wedding halls and hammams were closed and governmental departments with large numbers of employees stopped working.[96]The five week lockdown in the capital, Kabul, affected small businesses, such as local shop owners.[161]
",21 March 2020,2020-03-21
Albania,"From 13 March, Albania implemented a hardening of its lockdown in major cities across the country, including the capital, Tirana, over the weekend until 15 March at midnight. Roads connecting major cities were also closed. Foreign nationals that need to go to the airport needed to have received written permission from the police to use the roads. All public facilities at the airport were closed, including restaurants and bars.[44] Sea travel from Greece and Italy was prohibited except for freight vessels.[45]
",13 March 2020,2020-03-13
Argentina,"On 19 March, Argentina entered a nation-wide lockdown.[6][7] The Argentine government announced the extension of the lockdown, originally intended to end on March 31 until mid April.[8] On 10 April, President Alberto Fernández announced that the lockdown would be extended in major cities until 26 April.[9]
",19 March 2020,2020-03-19
Argentina,"On 19 March, Argentina entered a nation-wide lockdown.[6][7] The Argentine government announced the extension of the lockdown, originally intended to end on March 31 until mid April.[8] On 10 April, President Alberto Fernández announced that the lockdown would be extended in major cities until 26 April.[9]
",19 March 2020,2020-03-19
Argentina,"On 19 March, Argentina entered a nation-wide lockdown.[6][7] The Argentine government announced the extension of the lockdown, originally intended to end on March 31 until mid April.[8] On 10 April, President Alberto Fernández announced that the lockdown would be extended in major cities until 26 April.[9]
",19 March 2020,2020-03-19
Argentina,"16 March Nine new cases were confirmed by the national Ministry of Health in the City of Buenos Aires (5) and the provinces of Chaco (3) and Buenos Aires (1), bringing the total to 65.[39] Soon after in the night, the Governor of Chaco confirmed the provincial number of four more cases instead of three, bringing the total to 66.[40] Tierra del Fuego was put on lockdown later that day, becoming the first province to do so.[41]
",16 March 2020,2020-03-16
Argentina,"29 March 75 new cases were confirmed by the Ministry of Health on the City of Buenos Aires (13) and the provinces of Córdoba (18), Buenos Aires (16), Santa Fe (13), Chaco (4), Tierra del Fuego (4), La Pampa (2), San Juan (1), La Rioja (1), Mendoza (1), Misiones (1) and Corrientes (1). Two new deaths were confirmed, one from a 58-year-old man from the Province of Buenos Aires that had contact with another confirmed case and had a history of COPD, and a 50-year-old man from Tucumán that recently returned from Europe with his wife that was the first case on the province. To this day there were 820 confirmed cases and 21 deaths.[71] Later, president Alberto Fernández announced that the mandatory lockdown would be extended until April 12.[8]
",29 March 2020,2020-03-29
Argentina,"8 April President Alberto Fernández announced that the mandatory lockdown would be extended beyond 12 April, with ""flexibilisation"" of few activities only.[86] Later, the Ministry of Health confirmed 80 new cases and five new deaths; The number of confirmed cases has risen to 1,795 and the number of total deaths to 65, while the number of recoveries is now 358.[87]
",8 April 2020,2020-04-08
Argentina,"10 April 81 new cases and three new deaths were reported, bringing the total number of cases to 1,975 and the number of deaths to 82.[89] In the night, President Fernández confirmed that the lockdown would be extended until 26 April in major cities,[9] and that the flexibilisation of restrictions in zones with lesser risk would be analysed.[90]
",10 April 2020,2020-04-10
Argentina,"On 16 March, the province of Tierra del Fuego was put on lockdown, becoming the first province to do so.[41] The provinces of Chaco, Misiones, Salta, Jujuy, Mendoza and Tierra del Fuego also decided to close their borders on 18 March.[45]
",16 March 2020,2020-03-16
Argentina,"On 19 March, President Alberto Fernández announced a mandatory lockdown to curb the spread of coronavirus. It would take effect from 20 March until 31 March.[6] It was among the strictest measures in the region.[7]
",19 March 2020,2020-03-19
Argentina,"On 29 March, Fernández announced that the mandatory lockdown would be extended until 12 April,[8] but on 10 April, he confirmed that the lockdown would be extended until 26 April in major cities.[9]
",29 March 2020,2020-03-29
Argentina,"On 29 March, Fernández announced that the mandatory lockdown would be extended until 12 April,[8] but on 10 April, he confirmed that the lockdown would be extended until 26 April in major cities.[9]
",29 March 2020,2020-03-29
Argentina,"Included in the package was the announcement of a one-time emergency payment of 10,000 pesos (US$154) to lower-income individuals whose income was affected by the lockdown, including retirees.[107] Because banks were excluded in the list of businesses that were considered essential in Fernandez's lockdown decree, they remained closed until the Central Bank announced banks would open during a weekend starting on 3 April.[108]
",3 April 2020,2020-04-03
Argentina,"Included in the package was the announcement of a one-time emergency payment of 10,000 pesos (US$154) to lower-income individuals whose income was affected by the lockdown, including retirees.[107] Because banks were excluded in the list of businesses that were considered essential in Fernandez's lockdown decree, they remained closed until the Central Bank announced banks would open during a weekend starting on 3 April.[108]
",3 April 2020,2020-04-03
Argentina,"""Argentina's Fernandez extends coronavirus lockdown through """,April 26,2020-04-26
American Samoa,"On , the president said he had decided not to enact a tri-state lockdown of New York, New Jersey, and Connecticut, after having publicly suggested earlier in the day he was considering such a move; instead he ordered the CDC to issue a travel advisory suggesting voluntary travel limitations in these states.[190]
",March 28,2020-03-28
American Samoa,"Similar restrictions to varying degree have been imposed in Illinois, Texas, Nevada, New Jersey and Florida, including the shutting down of hotels.[442] As of [update], about 297 million people, or about 90% of the population, are under some form of lockdown in the United States.[443] Several states also set up police checkpoints at their borders.[444] After implementing social distancing and stay-at-home orders, many states have been able to sustain an effective transmission rate (""Rt"") of less than one, meaning the disease is in remission in those areas.[445]
",April 2,2020-04-02
Austria,"On 15 March, a ban was also announced for public gatherings of more than five people, and restaurants were ordered to close beginning on 17 March.[26] In addition, Günther Platter, the governor of Tyrol, announced a one-week lockdown for the whole province.[27][28] Residents in Tyrol were required to remain in their homes except for necessary reasons such as purchasing food or medicine, visiting the doctor, withdrawing cash, or walking a dog.[27]
",15 March 2020,2020-03-15
Belgium,"On 24 February, following the spread of the COVID-19 in northern Italy, a hundred Belgian citizens were put in quarantine in the H10 Costa Adeje Palace in Tenerife that was put on lockdown.[20][21] Fifteen of them were allowed to travel back to Belgium on 28 February and the remainder on 5 March, without having been tested for the coronavirus upon arrival.[22]
",24 February 2020,2020-02-24
Belgium,"Late in the evening on 12 March, after a meeting of the National Security Council, the Belgian government moved into the federal phase of crisis management, and ordered the closure of schools, discos, cafes and restaurants, and the cancellation of all public gatherings for sporting, cultural or festive purposes from Friday 13 March at midnight onwards.[83] It was stressed that the measures taken were not a lockdown because people are not required to stay home.[84]
",12 March 2020,2020-03-12
Bangladesh,"On 9 April, Bangladesh imposed a 'complete lockdown' on the Cox's Bazar District where the majority of the Rohingya refugee camps are located. ""No entry, no exit – until the situation improves"", said the government directive.[46]
",9 April 2020,2020-04-09
Bangladesh,"On 6 April, the country had the largest spike thus far in both the detected number of cases and the number of deaths, with 35 new detected cases and 3 new deaths the number of positive tests surged from 88 to 123 and deaths increased from 9 to 12.
[117].It was the most cases of that time.At 2 pm IEDCR reports 127 cases.Bashabo in Dhaka was in a high risk.It was a lockdown.[citation needed]
",6 April 2020,2020-04-06
Bermuda,"The government announced a 14-day 24-hour lockdown starting 4 April, where residents were only allowed to leave home for groceries or medical emergencies. On April 14, it was announced that the lockdown would last an extended 14 days.[10]
",4 April 2020,2020-04-04
Switzerland,"On 20 March, the government announced that no lockdown would be implemented, but all events or meetings over 5 people were prohibited. Economic activities would continue including construction.[46]
",20 March 2020,2020-03-20
Chile," The first case in Easter Island (Rapa Nui) is reported, despite the lockdown established on 19 March.[39] 176 new cases were confirmed, bringing the total up to 922.[40]",24 March 2020,2020-03-24
Chile," At 10pm, a complete lockdown is established in 7 communes of Greater Santiago (Santiago, Independencia, Providencia, Ñuñoa, Las Condes, Vitacura, and Lo Barnechea), covering 1.3 million inhabitants.[citation needed]",26 March 2020,2020-03-26
Chile," At 10pm, a complete lockdown is established in Temuco and Padre las Casas.[citation needed]",28 March 2020,2020-03-28
Chile," At 10pm, a complete lockdown is established in Punta Arenas, Chile.[citation needed]",1 April 2020,2020-04-01
Comoros,"By  the total number of cases reached seven, of which one is thought to be a local transmission. A 21-day lockdown of the regions of Erongo and Khomas was announced for 27 March with inter-regional travel forbidden, excluding the commuter towns of Okahandja and Rehoboth. Parliament sessions were suspended for the same period, and bars and markets were closed.[71] On 14 April this lockdown was extended for another 2 weeks ending 4 May, now encompassing all regions, although the stay-at-home order was already enforced countrywide.[72]
",25 March 2020,2020-03-25
Comoros,"By  the total number of cases reached seven, of which one is thought to be a local transmission. A 21-day lockdown of the regions of Erongo and Khomas was announced for 27 March with inter-regional travel forbidden, excluding the commuter towns of Okahandja and Rehoboth. Parliament sessions were suspended for the same period, and bars and markets were closed.[71] On 14 April this lockdown was extended for another 2 weeks ending 4 May, now encompassing all regions, although the stay-at-home order was already enforced countrywide.[72]
",25 March 2020,2020-03-25
Comoros,"On 5 March the first confirmed case was announced, returning from Italy[100] On , South Africa declared a national state of disaster[57] On 23 March 2020, President Cyril Ramaphosa issued a national lockdown lasting 21 days from 26 March 2020,[101] later extended to 30 April.[102]
As of 18 April 2020, there are 2 783 confirmed cases, a total of 50 deaths and 903 complete recoveries.[103]
",15 March 2020,2020-03-15
Curaçao,"On , it was announced that vehicles will only be allowed on the road on specific days depending on their licence plate, and that every Sunday there will be a complete lockdown with nobody allowed outside. [17]
",1 April 2020,2020-04-01
Germany,"On 16 March, the state of Bavaria declared a state of emergency for 14 days and introduced measures to limit public movement and provide additional funds for medicine supplies. Bavarian minister president Markus Söder ordered closures of all sports and leisure facilities starting on 17 March. Restaurants were ordered to limit their dine-in opening hours to before 300 pm; to ensure a minimum distance of 1.5 metres between guests; and to accommodate a maximum of 30 guests. Supermarkets, chemist's shops, banks, pet shops, and all business that sell essential basic needs are allowed extended opening times including on Sundays, while non-essential shops are to be closed at all times.[177] After public outrage over flights from Iran still landing in Germany without tests or quarantine, the German Ministry of Transport stopped all flights from Iran and China.[178][179] Italian scientists, including virologist Roberto Burioni, warned Germany against underestimating the danger and the director of Eurac Research said Germany needed a lockdown or the numbers would go out of control.[180] In the evening, Merkel announced measures similar to Bavaria for the entire country, agreed on by all federal states and the ruling coalition. This also includes a prohibition on travelling in coaches, attending religious meetings, visiting playgrounds or engaging in tourism.[181] The government stressed it was no ""shutdown"".[182]
",16 March 2020,2020-03-16
Denmark,"Denmark was among the first European countries to introduce lockdown measures, starting 13 March.[7] Following a period of consistent increase in hospitalisations, the number of people in hospital with COVID-19 has been slowly falling since late March, with number of cases in need of intensive care and ventilator[6] being well below available resources.[8] Starting on 15 April, a very slow and gradual reopening will be initiated, but if there are indications that the number of infections increases too fast, it will be reversed.[9]
",13 March 2020,2020-03-13
Denmark,"An empty yeast tray at a supermarket in Odense, Denmark, on . Following the announcement of a general lockdown, there was large-scale panic buying of yeast, including both dry yeast and the shorter-lived fresh variety.[84][85]",17 March 2020,2020-03-17
Denmark,"Starting on 18 March at 1000 AM, a number of further restrictions were activated it became illegal to assemble more than ten people in public, all shopping centres and stores with close contact such as hairdressers and nightclubs must be closed, restaurants can only serve take-away, and other businesses must ensure that there is enough space between customers.[89]
Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK1500.[89] On 23 March, it was announced that the above lockdown measures would be extended for a further 2 weeks, and be in place until 13 April.[90]
",18 March 2020,2020-03-18
Spain,"By 13 March, cases had been registered in all 50 provinces of the country. A state of alarm and national lockdown was imposed on 14 March.[9] On 29 March it was announced that, beginning the following day, all non-essential workers were to stay home for the next 14 days.[10]
",13 March 2020,2020-03-13
Spain,"On , Spain confirmed its first COVID-19 case in La Gomera, Canary Islands. A tourist from Germany tested positive and was admitted to University Hospital of the Nuestra Señora de Candelaria.[3][21][22] On 9 February, the second case involved a British male tourist in Palma de Mallorca, Balearic Islands, who contracted the disease after coming into contact with someone in France who subsequently tested positive.[23] On 9 February, Fernando Simón, the head of medical emergencies in Madrid, said that ""Spain will only have a handful of cases"".[24] On 13 February, the first death in Spain was recorded involving a 69-year-old man who had been in Nepal. He died in Valencia and was diagnosed post-mortem.[25] On 24 February, following a COVID-19 outbreak in Italy, a medical doctor from Lombardy, Italy, who was on holiday in Tenerife, tested positive at the University Hospital of the Nuestra Señora de Candelaria in Spain.[6] The H10 Costa Adeje Palace in Tenerife was put on lockdown.[26]
",31 January 2020,2020-01-31
Spain,"On 15 March the national lockdown due to the State of Alarm becomes effective.[106][107] All residents are mandated to remain in their normal residences except to purchase food and medicines, work or attend emergencies.[108][109] Lockdown restrictions also mandated the temporary closure of non-essential shops and businesses, including bars, restaurants, cafes, cinemas and commercial and retail businesses, while also announcing that the government will be able to take over private healthcare providers, if needed.[106][110] The announcement came following significant increases in the number of confirmed cases of COVID-19 in Spain, increasing by 66% from 3,146 cases to 5,232 cases on .[111] The ""extraordinary decision"", according to the PM Pedro Sánchez, is necessary as Spain deals with a ""health, social and economic crisis"".[106] Seville's Feria de Abril is postponed to September for the first time in its history.[112] The first case in the autonomous city of Ceuta was diagnosed.[113]
",13 March 2020,2020-03-13
Spain,"On 7 March, Haro was put on lockdown due to a concentration of cases.[146] On 12 March, the Catalan regional government quarantined four Catalan municipalities—Igualada, Vilanova del Cami, Santa Margarida de Montbui and Odena—following  a cluster of cases being reported at Igualada Hospital; the measure affected 70,000 people and was scheduled to last 14 days.[147][148] The next day, the Government of Spain announced a state of alarm over all of the country would be decreed on the next day, initially for 15 days as specified in the Article 116.2 of the Spanish constitution.[149] Under the state of alarm, the central government retains all powers and all police are under the control of the Interior Ministry. Many nonessential activities are forbidden, including large gatherings, restaurants, museums and the like. However, citizens are still permitted to travel to work and buy essential items, and religious services are allowed under certain conditions.[150] The delay in implementing the lockdown meant that some people in Madrid left for the regions, bringing the virus with them.[151]
",7 March 2020,2020-03-07
Spain,"On 7 March, Haro was put on lockdown due to a concentration of cases.[146] On 12 March, the Catalan regional government quarantined four Catalan municipalities—Igualada, Vilanova del Cami, Santa Margarida de Montbui and Odena—following  a cluster of cases being reported at Igualada Hospital; the measure affected 70,000 people and was scheduled to last 14 days.[147][148] The next day, the Government of Spain announced a state of alarm over all of the country would be decreed on the next day, initially for 15 days as specified in the Article 116.2 of the Spanish constitution.[149] Under the state of alarm, the central government retains all powers and all police are under the control of the Interior Ministry. Many nonessential activities are forbidden, including large gatherings, restaurants, museums and the like. However, citizens are still permitted to travel to work and buy essential items, and religious services are allowed under certain conditions.[150] The delay in implementing the lockdown meant that some people in Madrid left for the regions, bringing the virus with them.[151]
",7 March 2020,2020-03-07
Spain,"On 25 March, the parliament—with less than 50 members of 350 present—approved the government's request to extend of the state of alarm until 11 April.[158] On 28 March, the prime minister ordered all non-essential workers to stay at home from 30 March to 9 April to bend the curve and contain the epidemic. Fernando Simón stated that ICUs were expected to be full by the end of this week or early the next week.[159] On 1 April, the state of alarm was scheduled to expire on 12 April and the government planned to ease lockdowns going forward, assuming that new infections decrease.[160] Because the previous week had seen many Spaniards die of the disease, on 3 April, Sánchez was considering extending the quarantine another fifteen days to 26 April. He consulted the opposition to obtain its support, and will speak to presidents of the autonomous communities on 5 April.[161] On 13 April, some nonessential workers who are unable to telecommute will be allowed to return to work, although other social distancing measures will remain in place. Instead, the government will distribute masks on public transport and attempt aggressive contact tracing to reduce the spread of the virus.[162]
",25 March 2020,2020-03-25
Spain,"Spanish Army deploys to enforce lockdown in Alcañiz, Aragón, 27 March",27 March 2020,2020-03-27
Spain,"Economists estimate that the government deficit will increase from 2.6% in 2019 to 15% in 2020. These estimates are based on a projection that the tax revenue will fall by €40 billion and GDP will drop 5%.[224] As of 28 March, Goldman Sachs was predicting a double-digit GDP decline for Spain.[225]  The country's financial institutions are in better shape than they were before the 2008–2014 Spanish financial crisis, and exports and trade balance have improved. However, the debt-to-GDP ratio, government deficit, and unemployment are all higher than they were in 2008, leaving the government less room to manoeuver in its response to the crisis.[222] According to an article in El País, house prices in some parts of Spain have seen significant declines, although few sales are occurring due to the lockdown.[226]
",28 March 2020,2020-03-28
Ethiopia,"On , a 14-day total lockdown of Bahir Dar and three other towns was imposed.[79]
",31 March 2020,2020-03-31
Ethiopia,"""በአማራ ክልል ባህርዳርን ጨምሮ በ4 ከተሞች ማንኛውም አይነት የህዝብና የተሽከርካሪ እንቅስቃሴ እንዳይኖር ተወሰነ"" [Amhara regional state introduced total lockdown in 4 cities including Bahir Dar]. fanabc.com. . Retrieved 10 April 2020.",31 March 2020,2020-03-31
Fiji,"On 2 April, Fiji confirmed two cases, a Fijian couple from Suva. Prime Minister Frank Bainimarama stated that the sixth case is a 22-year-old woman and the seventh case is her 33-year-old husband. They are in admitted at Navua Hospital. Due to this, the Prime Minister announced that Suva will be going into a lockdown effective from 3 April at 5 a.m. Also, the government renewed the national curfew where it will start from 8 p.m. to 5 a.m.[28]
",2 April 2020,2020-04-02
United Kingdom,"On 20 March, all schools,[28] restaurants, pubs, clubs, and indoor leisure facilities were ordered to shut, with some exceptions.[29] On 23 March, the government imposed a lockdown on the whole population, banning all ""non-essential"" travel and contact with people outside one's home, and shutting almost all businesses, venues, facilities and places of worship. Police were given power to enforce the lockdown, and the Coronavirus Act 2020 gave the government emergency powers[30] not used since the Second World War.[31][32] It is forecast that a lengthy lockdown would severely damage the UK economy,[33] worsen mental health,[34] and cause ""collateral"" deaths due to isolation and falling living standards.[35]
",20 March 2020,2020-03-20
United Kingdom,"On 20 March, all schools,[28] restaurants, pubs, clubs, and indoor leisure facilities were ordered to shut, with some exceptions.[29] On 23 March, the government imposed a lockdown on the whole population, banning all ""non-essential"" travel and contact with people outside one's home, and shutting almost all businesses, venues, facilities and places of worship. Police were given power to enforce the lockdown, and the Coronavirus Act 2020 gave the government emergency powers[30] not used since the Second World War.[31][32] It is forecast that a lengthy lockdown would severely damage the UK economy,[33] worsen mental health,[34] and cause ""collateral"" deaths due to isolation and falling living standards.[35]
",20 March 2020,2020-03-20
United Kingdom,"Initially, Boris Johnson largely kept Britain open, resisting the kind of lockdowns seen elsewhere in Europe. In a speech on 3 February, Johnson's main concern was that the ""coronavirus will trigger a panic and a desire for market segregation that go beyond what is medically rational to the point of doing real and unnecessary economic damage.""[57] On 11 February, a “senior member of the government” told the ITV journalist Robert Peston that ""If there is a pandemic, the peak will be March, April, May” and, further, that “the risk is 60% of the population getting it. With a mortality rate of perhaps just over 1%, we are looking at not far off 500,000 deaths.""[58] On 13 March, UK chief scientific adviser Sir Patrick Vallance told BBC Radio 4 that one of ""the key things we need to do"" is to ""build up some kind of herd immunity so more people are immune to this disease and we reduce the transmission"".[59] This involves enough people getting infected, upon which they develop immunity to the disease.[60][61] Vallance said that 60% of the UK's population will need to become infected for herd immunity to be achieved.[62][61] This stance was criticised by experts who said that it would lead to hundreds of thousands deaths and overwhelm the NHS. Over 200 scientists urged the government to rethink the approach in an open letter.[63] Subsequently, Health Secretary Matt Hancock denied that herd immunity was a plan for the UK, and the Department of Health and Social Care said that ""herd immunity is a natural byproduct of an epidemic"".[64] On 4 April, The Times reported that the government's science adviser, Graham Medley, is still advocating a ""herd immunity"" strategy.[65] There was also criticism over a lack of transparency around the scientific evidence being used to inform the government response, with a letter published in the Lancet on 17 March calling on the government to openly share its data and models as a matter of urgency.[66]
",3 February 2020,2020-02-03
United Kingdom,"The government and Public Health England were criticised for what some saw as a failure to organise mass testing. On 28 March the editor-in-chief of The Lancet published a condemnation of what he saw as government inaction and ignoring of WHO advice.[153] On 31 March former WHO director Anthony Costello, following WHO advice that countries should ""test, test, test"", said the key to the UK transitioning out of lockdown was mass testing, and that the UK had the capacity to reach the level of testing being carried out by Germany (70,000 tests a day, compared to the UK's 5,000), but that the government and Public Health England (PHE) had been too slow and controlling to organise.[154] The day after, Conservative MP Jeremy Hunt, chair of the Health and Social Care Select Committee and former Health Secretary, said it was ""very worrying"" that the government had not introduced mass testing because doing so had been ""internationally proven as the most effective way of breaking the chain of transmission"".[155] On 2 April, The Telegraph reported that one of the Government's science advisers, Graham Medley, claimed ""mass public testing has never been our strategy for any pandemic."" Medley also stated that the Government ""didn't want to invest millions of pounds into something that is about preparedness.""[156]
",28 March 2020,2020-03-28
United Kingdom,"In a paper, the Imperial team provided detailed forecasts of the potential impacts of the epidemic in the UK and US.[27][172] It details the potential outcomes of an array of 'non-pharmaceutical interventions'. Two potential overall strategies outlined were mitigation, in which the aim is to reduce the health impact of the epidemic but not to stop transmission completely; and suppression, where the aim is to reduce transmission rates to a point where case numbers fall. Until this point government actions had been based on a strategy of mitigation, but the modelling predicted that while this would reduce deaths by approximately 2/3, it would still lead to approximately 250,000 deaths from the disease and the health systems becoming overwhelmed.[27] On the same day as the report was released, the Prime Minister announced in a press conference significant changes to the government advice, extending self isolation to whole households, advising social distancing particularly for vulnerable groups, and indicating that further measures were likely to be required in the future.[25][172] A paper on 30 March by Imperial estimated that the lockdown would reduce the number of dead from 510,000 to less than 20,000.[173]
",30 March 2020,2020-03-30
United Kingdom,"By 17 April, work had halted on 2,434 UK sites (according to a Glenigan survey of projects with a construction value of more than £250,000); approximately £58bn or 35% of total UK construction value had been paused. Around 44% of private housing and 32% of social housing schemes were suspended. In Scotland and Northern Ireland, where stricter lockdowns were enforced, 79% and 78% of schemes were suspended respectively.[212]
",17 April 2020,2020-04-17
United Kingdom,"On 23 March, a prisoner tested positive for the virus at HMP Birmingham and was placed into isolation. The prison was not placed into full lockdown, but made the decision to restrict access.[332] On the same day, a prisoner at HMP Oakwood near Wolverhampton tested positive for the virus and was placed into isolation. Visits to the prison were not stopped, but it is believed they were reduced.[333]
",23 March 2020,2020-03-23
